ID,Name,PID,Type ID,Enabled,Path Name
15104768,PAYMENT_RECONCILLIATION,15104726,JobPlan,1,BreakFix/Scheduled_Plans/PAYMENT_RECONCILLIATION/
15104769,SCD_EXTRACTS_6pm,15104726,JobPlan,1,BreakFix/Scheduled_Plans/SCD_EXTRACTS_6pm/
15104770,AS_24D_CA_CR_SDTR,15104726,JobPlan,1,BreakFix/Scheduled_Plans/AS_24D_CA_CR_SDTR/
15104772,DM_REF_BONDS_TRIGGERED,15104727,JobPlan,1,BreakFix/Triggered_Plans/DM_REF_BONDS_TRIGGERED/
15104773,DM_REF_MKTDATA_TRIGGERED,15104727,JobPlan,1,BreakFix/Triggered_Plans/DM_REF_MKTDATA_TRIGGERED/
15104774,DM_REF_PARTIES_TRIGGERED,15104727,JobPlan,1,BreakFix/Triggered_Plans/DM_REF_PARTIES_TRIGGERED/
15104775,DM_REF_SMF_TRIGGERED,15104727,JobPlan,1,BreakFix/Triggered_Plans/DM_REF_SMF_TRIGGERED/
15104776,TRN_EXT_CL_TRD_TRIGGERED,15104727,JobPlan,1,BreakFix/Triggered_Plans/TRN_EXT_CL_TRD_TRIGGERED/
15104777,TRN_CASH_TRIGGERED_old,15104727,JobPlan,0,BreakFix/Triggered_Plans/TRN_CASH_TRIGGERED_old/
15104778,BCI_SYNC_SCD_TO_BCI,15104727,JobPlan,1,BreakFix/Triggered_Plans/BCI_SYNC_SCD_TO_BCI/
15104779,SA_CASH_MGMT_FILE_MOVE_TRIGGERED,15104727,JobPlan,1,BreakFix/Triggered_Plans/SA_CASH_MGMT_FILE_MOVE_TRIGGERED/
15104780,TM_DEPO_REPO_TRIGGERED,15104727,JobPlan,1,BreakFix/Triggered_Plans/TM_DEPO_REPO_TRIGGERED/
15104781,TRN_FUT_TRIGGERED,15104727,JobPlan,1,BreakFix/Triggered_Plans/TRN_FUT_TRIGGERED/
15104782,DM_REF_BANK_HOLIDAYS_TRIGGERED,15104727,JobPlan,1,BreakFix/Triggered_Plans/DM_REF_BANK_HOLIDAYS_TRIGGERED/
15104783,Alternative_Investments,15104727,Plan,1,BreakFix/Triggered_Plans/Alternative_Investments/
15104784,PERF_INDEX_UNIDATA_TRIGGERED,15104727,JobPlan,1,BreakFix/Triggered_Plans/PERF_INDEX_UNIDATA_TRIGGERED/
15104785,TRN_REPO_TRIGGERED,15104727,JobPlan,1,BreakFix/Triggered_Plans/TRN_REPO_TRIGGERED/
15104786,TRN_SBB_O_TRIGGERED,15104727,JobPlan,1,BreakFix/Triggered_Plans/TRN_SBB_O_TRIGGERED/
15104787,TRN_FX_OPT_TRIGGERED,15104727,JobPlan,1,BreakFix/Triggered_Plans/TRN_FX_OPT_TRIGGERED/
15104788,TRN_IRS_BASIS_TRIGGERED,15104727,JobPlan,1,BreakFix/Triggered_Plans/TRN_IRS_BASIS_TRIGGERED/
15104789,TRN_IRS_FI_FL_TRIGGERED,15104727,JobPlan,1,BreakFix/Triggered_Plans/TRN_IRS_FI_FL_TRIGGERED/
15104790,TRN_OTC_OPT_TRIGGERED,15104727,JobPlan,1,BreakFix/Triggered_Plans/TRN_OTC_OPT_TRIGGERED/
