Batch Job Group ID,Batch Job Group Name,Job Plan ID,Job Plan Name,Parent Path,Target ID
15101307,PERF_INDEX_UNIDATA,15101046,PERF_INDEX_UNIDATA,,15100966
15101308,Delete_From_Direct_After_Processing,15101046,PERF_INDEX_UNIDATA,,15101005
15101309,GL_CONTR_SURP_REBOOK,15101047,GL_CONTR_SURP_REBOOK,,15100967
15101310,TRN_REPO,15101048,TRN_REPO,,15100968
15101311,Copy_To_Direct_and_Archive,15101048,TRN_REPO,,15101004
15101312,Delete_From_Direct_After_Processing,15101048,TRN_REPO,,15101005
15101313,TRN_SBB_O,15101049,TRN_SBB_O,,15100969
15101314,Copy_To_Direct_and_Archive,15101049,TRN_SBB_O,,15101004
15101315,Delete_From_Direct_After_Processing,15101049,TRN_SBB_O,,15101005
15101316,TRN_FX_OPT,15101050,TRN_FX_OPT,,15100970
15101317,Copy_To_Direct_and_Archive,15101050,TRN_FX_OPT,,15101004
15101318,Delete_From_Direct_After_Processing,15101050,TRN_FX_OPT,,15101005
15101319,TRN_IRS_BASIS,15101051,TRN_IRS_BASIS,,15100971
15101320,Copy_To_Direct_and_Archive,15101051,TRN_IRS_BASIS,,15101004
15101321,Delete_From_Direct_After_Processing,15101051,TRN_IRS_BASIS,,15101005
15101322,TRN_IRS_FI_FL,15101052,TRN_IRS_FI_FL,,15100972
15101323,Copy_To_Direct_and_Archive,15101052,TRN_IRS_FI_FL,,15101004
15101324,Delete_From_Direct_After_Processing,15101052,TRN_IRS_FI_FL,,15101005
15101325,TRN_OTC_OPT,15101053,TRN_OTC_OPT,,15100973
15101326,Copy_To_Direct_and_Archive,15101053,TRN_OTC_OPT,,15101004
15101327,Delete_From_Direct_After_Processing,15101053,TRN_OTC_OPT,,15101005
15101328,TRN_TRS,15101054,TRN_TRS,,15100974
15101329,Copy_To_Direct_and_Archive,15101054,TRN_TRS,,15101004
15101330,Delete_From_Direct_After_Processing,15101054,TRN_TRS,,15101005
15101331,TRN_IRS_OIS_FI,15101055,TRN_IRS_OIS_FI,,15100975
15101332,Copy_To_Direct_and_Archive,15101055,TRN_IRS_OIS_FI,,15101004
15101333,Delete_From_Direct_After_Processing,15101055,TRN_IRS_OIS_FI,,15101005
15101334,TRN_IRS_OIS_FL,15101056,TRN_IRS_OIS_FL,,15100976
15101335,Copy_To_Direct_and_Archive,15101056,TRN_IRS_OIS_FL,,15101004
15101336,Delete_From_Direct_After_Processing,15101056,TRN_IRS_OIS_FL,,15101005
15101337,RECON_INT_DERIV,15101057,RECON_INT_DERIV,,15100977
15101338,Copy_To_Direct_and_Archive,15101058,RECON_INT_DERIV_FILE_MOVE,,15101004
15101339,Delete_From_Direct_After_Processing,15101057,RECON_INT_DERIV,,15101005
15101340,TRN_LN_FAC_FEE,15101059,TRN_LN_FAC_FEE,,15100978
15101341,Copy_To_Direct_and_Archive,15101059,TRN_LN_FAC_FEE,,15101004
15101342,Delete_From_Direct_After_Processing,15101059,TRN_LN_FAC_FEE,,15101005
15101343,TRN_LN_FAC_TRD,15101060,TRN_LN_FAC_TRD,,15100979
15101344,Copy_To_Direct_and_Archive,15101060,TRN_LN_FAC_TRD,,15101004
15101345,Delete_From_Direct_After_Processing,15101060,TRN_LN_FAC_TRD,,15101005
15101346,TRN_LN_FAC_TRD_CANC,15101061,TRN_LN_FAC_TRD_CANC,,15100980
15101347,Copy_To_Direct_and_Archive,15101061,TRN_LN_FAC_TRD_CANC,,15101004
15101348,Delete_From_Direct_After_Processing,15101061,TRN_LN_FAC_TRD_CANC,,15101005
15101349,TRN_LN_FAC_SET,15101062,TRN_LN_FAC_SET,,15100981
15101350,Copy_To_Direct_and_Archive,15101062,TRN_LN_FAC_SET,,15101004
15101351,Delete_From_Direct_After_Processing,15101062,TRN_LN_FAC_SET,,15101005
15101352,SA_CASH_MGMT,15101063,SA_CASH_MGMT,,15100982
15101353,Copy_To_SFTP_and_Archive_CFMS,15101063,SA_CASH_MGMT,,15101006
15101355,TRN_CCS_BASIS,15101064,TRN_CCS_BASIS,,15100983
15101356,Copy_To_Direct_and_Archive,15101064,TRN_CCS_BASIS,,15101004
15101357,Delete_From_Direct_After_Processing,15101064,TRN_CCS_BASIS,,15101005
15101358,TRN_CSS_FI_FI,15101065,TRN_IRS_FI_FI,,15100985
15101359,Copy_To_Direct_and_Archive,15101065,TRN_IRS_FI_FI,,15101004
15101360,Delete_From_Direct_After_Processing,15101065,TRN_IRS_FI_FI,,15101005
15101361,TRN_CCS_FI_FL,15101066,TRN_CCS_FI_FL,,15100984
15101362,Copy_To_Direct_and_Archive,15101066,TRN_CCS_FI_FL,,15101004
15101363,Delete_From_Direct_After_Processing,15101066,TRN_CCS_FI_FL,,15101005
15101364,TRN_CCS_FI_FI,15101067,TRN_CCS_FI_FI,,15100985
15101365,Copy_To_Direct_and_Archive,15101067,TRN_CCS_FI_FI,,15101004
15101366,Delete_From_Direct_After_Processing,15101067,TRN_CCS_FI_FI,,15101005
15101367,TRN_SWAPTION,15101068,TRN_SWAPTION,,15100986
15101368,Copy_To_Direct_and_Archive,15101068,TRN_SWAPTION,,15101004
15101369,Delete_From_Direct_After_Processing,15101068,TRN_SWAPTION,,15101005
15101370,TRN_CDSOPT,15101069,TRN_CDSOPT,,15100987
15101371,Copy_To_Direct_and_Archive,15101069,TRN_CDSOPT,,15101004
15101372,Delete_From_Direct_After_Processing,15101069,TRN_CDSOPT,,15101005
15101373,TRN_VAR_SWAP,15101070,TRN_VAR_SWAP,,15100988
15101374,Copy_To_Direct_and_Archive,15101070,TRN_VAR_SWAP,,15101004
15101375,Delete_From_Direct_After_Processing,15101070,TRN_VAR_SWAP,,15101005
15101376,TRN_VOL_SWAP,15101071,TRN_VOL_SWAP,,15100989
15101377,Copy_To_Direct_and_Archive,15101071,TRN_VOL_SWAP,,15101004
15101378,Delete_From_Direct_After_Processing,15101071,TRN_VOL_SWAP,,15101005
15101379,TRN_DIV_CAP_EVENT,15101072,TRN_DIV_CAP_EVENT,,15100990
15101380,Copy_To_Direct_and_Archive,15101072,TRN_DIV_CAP_EVENT,,15101004
15101381,Delete_From_Direct_After_Processing,15101072,TRN_DIV_CAP_EVENT,,15101005
15101382,MAN_EXT_CL_TRD,15101073,MAN_EXT_CL_TRD,,15100991
15101383,Copy_To_Direct_and_Archive,15101073,MAN_EXT_CL_TRD,,15101004
15101384,Delete_From_Direct_After_Processing,15101073,MAN_EXT_CL_TRD,,15101005
15101385,RE_PERF_DWH_LOAD,15101074,RE_PERF_DWH_LOAD,,15100992
15101386,REF_SMF,15101075,REF_SMF,,15100994
15101387,Copy_To_SFTP_And_Archive,15101075,REF_SMF,,15101006
15101388,DWH_PFC_ERRORS,15101076,DWH_PFC_ERRORS,,15100995
15101389,Copy_To_Archive,15101026,RECON_NT_POS_IAB,,15101010
15101390,Delete_File_After_Processing,15101026,RECON_NT_POS_IAB,,15101005
15101391,Copy_To_Archive,15101025,RECON_NT_CSH_PMT,,15101010
15101392,Delete_File_After_Processing,15101025,RECON_NT_CSH_PMT,,15101005
15101393,Copy_To_SFTP_and_Archive_Inst_Types,15101032,DM_REF_EXTRACTS,,15101006
15101394,PERF_MCDS,15101077,PERF_MCDS,,15100997
15101395,Copy_To_SFTP_and_Archive_MIG,15101078,MIG_POST_VAL,,15101006
15101396,Delete_From_Direct_After_Processing_MIG,15101078,MIG_POST_VAL,,15101005
15101397,MIG_POST_VAL,15101078,MIG_POST_VAL,,15100998
15101398,DWHREC_FUND_DCMP,15101079,DWHREC_FUND_DCMP,,15101000
15101399,Copy_To_Direct_and_Archive,15101079,DWHREC_FUND_DCMP,,15101004
15101400,Delete_From_Direct_After_Processing_DWH_FILE,15101079,DWHREC_FUND_DCMP,,15101005
15101401,DWHREC_GLHOLDNG,15101080,DWHREC_GLHOLDNG,,15101001
15101402,Copy_To_Direct_and_Archive,15101080,DWHREC_GLHOLDNG,,15101004
15101403,Delete_From_Direct_After_Processing_DWH_FILE,15101080,DWHREC_GLHOLDNG,,15101005
15101404,DWHREC_IBOR_POS,15101081,DWHREC_IBOR_POS,,15101002
15101405,Copy_To_Direct_and_Archive,15101081,DWHREC_IBOR_POS,,15101004
15101406,Delete_From_Direct_After_Processing,15101081,DWHREC_IBOR_POS,,15101005
15101407,DWHREC_IBOR_SETT,15101082,DWHREC_IBOR_SETT,,15101003
15101408,Copy_To_Direct_and_Archive,15101082,DWHREC_IBOR_SETT,,15101004
15101409,Delete_From_Direct_After_Processing,15101082,DWHREC_IBOR_SETT,,15101005
15101410,DWHREC_ABOR_POS,15101083,DWHREC_ABOR_POS,,15100999
15101411,Copy_To_Direct_and_Archive,15101083,DWHREC_ABOR_POS,,15101004
15101412,Delete_From_Direct_After_Processing,15101084,DWHREC_SCD_FILE_MOVE_OLD,,15101005
15101413,Direct_Archive,15101084,DWHREC_SCD_FILE_MOVE_OLD,,15101011
15101414,Copy_To_Direct_and_Archive,15101085,DWHREC_FILE_MOVE,,15101004
15101415,Direct_Archive_SCD_FILE,15101083,DWHREC_ABOR_POS,,15101011
15101416,Delete_From_Direct_After_Processing_DWH_FILE,15101083,DWHREC_ABOR_POS,,15101005
15101417,Delete_From_Direct_After_Processing_SCD_FILE,15101083,DWHREC_ABOR_POS,,15101005
15101418,Direct_Archive_SCD_FILE,15101079,DWHREC_FUND_DCMP,,15101011
15101419,Delete_From_Direct_After_Processing_SCD_FILE,15101079,DWHREC_FUND_DCMP,,15101005
26186013,IO_AI_UNFUND_COMMIT,26186011,IO_AI_UNFUND_COMMIT,/SimCorp Dimension/BreakFix/Jobs/Extracts_And_Reporting/IO_AI_UNFUND_COMMIT,15101103
15101421,PERF_EXTRACT_UPD,15101088,PERF_EXTRACT_UPD,,15101087
15101422,Check_BatchJob_Log,15100935,DM_REF_MKTDATA,/SimCorp Dimension/Break_Fix/Jobs/DM_REF_MKTDATA,15104861
15101423,TRN_PMT_REC_AUXSTAT,15101091,TRN_PMT_REC_AUXSTAT_20200320,,15100993
15101424,TRN_PMT_REC_AUXSTAT,15101092,TRN_PMT_REC_AUXSTAT,,
15101425,Capture_Job_Status,15101019,RE_DWH_LOAD,,15000381
15660866,IO_FUT_TXN,15660857,IO_FUT_TXN,,15101103
15104962,SA_EOD_ADMIN,15104731,SCD_EOD_PROCESSING,,15101020
15104963,AS_24D_CA_CR_SDTR,15104731,SCD_EOD_PROCESSING,,15101036
15104964,SA_EOD_PMT,15104731,SCD_EOD_PROCESSING,,15101035
15104965,GL_CONTR_SURP_REBOOK,15104731,SCD_EOD_PROCESSING,,15101047
15104966,RECON_NT_POS_IO,15104732,SCD_RECON,,15101027
15104967,RECON_NT_POS_IAB,15104732,SCD_RECON,,15101026
15104968,RECON_INT_UNIT_2,15104732,SCD_RECON,,15101023
15104969,RECON_INT_DERIV,15104732,SCD_RECON,,15101057
15104970,RECON_INT_BNK_CB,15104732,SCD_RECON,,15101021
15104971,PERF_DAILY_FUND,15104733,SCD_PERF_DAILY,,15101039
15104972,PERF_DAILY_CLIENT,15104733,SCD_PERF_DAILY,,15101040
15104973,PERF_DAILY_INDEX,15104733,SCD_PERF_DAILY,,15101041
15104976,RE_DWH_LOAD,15104735,SCD_DWH_LOAD,,15101019
15104977,DWH_PFC_ERRORS,15104735,SCD_DWH_LOAD,,15101076
15104979,EDM_To_SCD_Market_Prices_Wait,15104743,Wait_EDM_To_SCD_Market_Prices,,12453522
15104980,EDM_To_SCD_Performance_Prices_Wait,15104744,WAIT_EDM_TO_SCD_PERFORMANCE_PRICES,,12453543
15104982,Wait_EDM_To_SCD_Market_Prices,15104731,SCD_EOD_PROCESSING,,15104743
15104983,WAIT_EDM_TO_SCD_PERFORMANCE_PRICES,15104733,SCD_PERF_DAILY,,15104744
15104984,WAIT_SCD_EOD_PROCESSING,15104735,SCD_DWH_LOAD,,15104737
15104985,SCD_To_EDM_SCD_DW_Message,15104742,Message_SCD_To_EDM_SCD_DW,,12466918
15104986,WAIT_SCD_DWH_LOAD,15104732,SCD_RECON,,15104738
15104988,Message_SCD_To_EDM_SCD_DW,15104735,SCD_DWH_LOAD,,15104742
15104989,WAIT_SCD_DWH_LOAD,15104733,SCD_PERF_DAILY,,15104738
15104990,WAIT_SUPERD_PRICES,15104731,SCD_EOD_PROCESSING,,15104745
15104991,WAIT_MARKET_FX_RATES,15104731,SCD_EOD_PROCESSING,,15104746
15104992,WAIT_MARKET_REF_RATES,15104731,SCD_EOD_PROCESSING,,15104747
15104993,WAIT_SCD_PERF_INDEX_UNIDATA,15104733,SCD_PERF_DAILY,,15104749
15104994,WAIT_CASH_PMT_RECON_FILE,15104732,SCD_RECON,,15104751
15104995,WAIT_POS_RECON_FILE,15104732,SCD_RECON,,15104750
15104996,WAIT_UNIT_2_RECON_FILE,15104732,SCD_RECON,,15104752
15104997,WAIT_SUPERD_RECON,15104732,SCD_RECON,,15104753
15104998,SCD_To_Mulesoft_SCD_DW_Message,15104754,Message_SCD_To_Mulesoft_SCD_DW,,12946647
