---WAIT_SCD_RECON_NT_CASH_PMT,First Batch Job Group
------SECURITY_DEAL_ID,Success Completion Trigger
BreakFix/Constraint_Triggered_Plans/SCD_REPO_FLOAT_MAT_POST_SOD,Top-level Plan
---WAIT_SCD_SOD,First Batch Job Group
------WAIT_MARKET_CORRA_RATES,Success Completion Trigger
---------SA_REF_RATES_ZERO,Success Completion Trigger
------------SA_CR_REF_RATE_FIX,Alert Trigger: Job/Plan Completed
---------------REPO_FLOAT_MAT,Success Completion Trigger
BreakFix/Constraint_Triggered_Plans/SCD_FRR_MAT_ALERT,Top-level Plan
---WAIT_SCD_REPO_FLOAT_MAT_POST_SOD,First Batch Job Group
------FRR_MAT_ALERT,Success Completion Trigger
BreakFix/Constraint_Triggered_Plans/SCD_MANUAL_QUOTE,Top-level Plan
---Wait_EDM_To_SCD_Market_Prices,First Batch Job Group
------WAIT_DM_REF_MKTDATA_TRIGGERED,Success Completion Trigger
---------MANUAL_QUOTE,Success Completion Trigger
BreakFix/Constraint_Triggered_Plans/SCD_AIM_WHT_DEDUCTIONS,Top-level Plan
---WAIT_SOD_SET_DATE,First Batch Job Group
------WAIT_SCD_SOD,Success Completion Trigger
---------DM_EXT_WHT_DEDUC,Success Completion Trigger
BreakFix/Constraint_Triggered_Plans/SCD_PERF_REP_DAILY_1,Top-level Plan
---WAIT_SCD_PERF_DAILY_2,First Batch Job Group
------PERF_REP_DAILY_1,Success Completion Trigger
BreakFix/Constraint_Triggered_Plans/SCD_PERF_REP_DAILY_2,Top-level Plan
---WAIT_SCD_PERF_DAILY_2,First Batch Job Group
------PERF_REP_DAILY_2,Success Completion Trigger
------PERF_REP_DAILY_2,Success Completion Trigger
BreakFix/Constraint_Triggered_Plans/SCD_PERF_DAILY_2,Top-level Plan
---WAIT_SCD_PERF_DAILY_1,First Batch Job Group
------PERF_DAILY_2,Success Completion Trigger
BreakFix/Constraint_Triggered_Plans/SCD_PERF_DAILY_3,Top-level Plan
---WAIT_SCD_PERF_DAILY_2,First Batch Job Group
------PERF_DAILY_3,Success Completion Trigger
