Sort,Batch Job Group,Batch Job Group Name,Batch Job,Batch Job Name,Batch Task (IK),Extracts Exporter,Extraction Setup,Extraction Dedinitions,Data Format Setup,Extract Table,Data Import,Data Import Mapping,Data Import Rule,Reference File Import,Reference File Export,Create Job,Portfolio Calculation,General Reconciliation,Corporate Action Manager Setup
5,TM_DEPO_REPO_MAN,Manual Import Repo and Deposit trades to Trade Manager,TM_REPO_MAN,Manual Import Repos to Trade Manager,Data Import - Execute,,,,TM_REPO,,TM_REPO,TM_REPO,TM_REPO,TM_REPO,,,,,
6,TM_DEPO_REPO_MAN,Manual Import Repo and Deposit trades to Trade Manager,DM_ARCHIVE_REPO,Archive Repo File Manual,File Operation - Move File,,,,,,,,,DFS_REPO_MF,DFS_REPO_MT,,,,
8,TRD_CDS_MANUAL,Import of CDS (APL) - Manual Execution,TRD_CDS_O_CAN_M,Trade - CDS Open - Cancels (Manual),Transfer File to Message Queue - Execute,,,,,,,,,CDS_RF_TRD_C_M,,,,,
9,TRD_CDS_MANUAL,Import of CDS (APL) - Manual Execution,DM_WAIT_TRAN_MQ_EMP,Data - Wait until Transaction Data MQ is Empty,System - Wait Unit Message Queue is Empty,,,,,,,,,,,,,,
10,TRD_CDS_MANUAL,Import of CDS (APL) - Manual Execution,TRD_CDS_O_M,Trade - CDS Open (Manual),Transfer File to Message Queue - Execute,,,,,,,,,CDS_RF_TRD_A_M,,,,,
1,TRN_AI_COMMIT,Alternative Investments - Open/Close Commitment,TRN_AI_COMMIT,Alternative Investments - Open/Close Commitment,Data Format Setup - Execute - Import to Message Queue,,,,TRN_AI_COMMIT,,,,,DFS_AI_COMMIT,,,,,
2,TRN_AI_COMMIT,Alternative Investments - Open/Close Commitment,DM_ARCHIVE_AI_COMMIT,Archive Open/Close Commitment File,File Operation - Move File,,,,,,,,,DFS_AI_COMMIT_MF,DFS_AI_COMMIT_MT,,,,
1,TRN_ALT_INV_INC_EXP,Administration->Alternative Investments -> Income and Expenses,TRN_ALT_INV_INC_EXP,Administration->Alternative Investments -> Income and Expenses,Data Format Setup - Execute - Import to Message Queue,,,,TRN_ALT_IN_INC_EXP,,,,,DFS_ALT_INV_INC,,,,,
1,TRN_BANK_ACC_OPN_BAL,Bank Account Opening Balance Import,TRN_BANK_ACC_OPN_BAL,Bank Account Opening Balance Import,Transfer File to Message Queue - Execute,,,,,,,,,DFS_BNK_OPN_BAK,,,,,
20,TRN_BBAIM_COAC,Bloomberg Corporate Action Extract,TRN_BBAIM_COAC_UPD,Bloomberg AIM - Update Send to Bloomberg,Extraction Setups - Execute,,TRN_BBAIM_COAC_UPD,TRN_BBAIM_COAC_UPD,,,,,,,,,,,
30,TRN_BBAIM_COAC,Bloomberg Corporate Action Extract,DM_WAIT_TRAN_MQ_EMP,Data - Wait until Transaction Data MQ is Empty,System - Wait Unit Message Queue is Empty,,,,,,,,,,,,,,
40,TRN_BBAIM_COAC,Bloomberg Corporate Action Extract,TRN_BBAIM_COAC,Bloomberg AIM Corporate Action Extract,Extraction Setups - Execute,,TRN_BBAIM_COAC,TRN_BBAIM_COAC,,,,,,,,,,,
50,TRN_BBAIM_COAC,Bloomberg Corporate Action Extract,TRN_BBAIM_CASH,Bloomberg AIM Cash Action Extract from Batch Job,Extraction Setups - Execute,,TRN_BBAIM_CASH_BATCH,TRN_BBAIM_CASH,,,,,,,,,,,
60,TRN_BBAIM_COAC,Bloomberg Corporate Action Extract,TRN_BBAIM_COAC_UPD,Bloomberg AIM - Update Send to Bloomberg,Extraction Setups - Execute,,TRN_BBAIM_COAC_UPD,TRN_BBAIM_COAC_UPD,,,,,,,,,,,
1,TRN_BOOK_CORR,Import of Book Value Corrections,TRN_BOOK_CORR,Import of Book Value Corrections,Data Format Setup - Execute - Import to Message Queue,,,,TRN_BOOK_CORR,,,,,DFS_TRN_BOOK_COR,,,,,
1,TRN_CAP_EVENTS,Transactions - Capital Events,TRN_CAP_EVENTS,Transactions - Capital Events,Data Format Setup - Execute - Import to Message Queue,,,,TRN_CAPITAL_EVENTS,,,,,TRN_CAP_EVENTS,,,,,
1,TRN_CAP_PAY,Import of AI Capital Payments,TRN_CAP_PAY,Import of External Data Alt. Invest. Capital Payments,Data Format Setup - Execute - Import to Message Queue,,,,TRN_CAP_PAY,,,,,DFS_TRN_CAP_PAY,,,,,
10,TRN_CAPEVENT_PCL,Update Capital Events - PCL Backdate Active,DM_TRN_CAPEVENT_PCL,Update Capital Events - PCL Backdate Active,Data Format Setup - Execute - Import to Message Queue,,,,TRN_CAPEVENT_PCL,,,,,TRN_CAPEVENT_PCL,,,,,
20,TRN_CAPEVENT_PCL,Update Capital Events - PCL Backdate Active,DM_WAIT_CASH_MQ_EMP,Data - Wait until Cash MQ is Empty,System - Wait Unit Message Queue is Empty,,,,,,,,,,,,,,
30,TRN_CAPEVENT_PCL,Update Capital Events - PCL Backdate Active,DM_ARC_CAPEVENT,Archive file Capital Event PCL Backdate,File Operation - Move File,,,,,,,,,DFS_CAPVNT_PCL_F,DFS_CAPVNT_PCL_T,,,,
1,TRN_CASH,Cash Transactions,DM_DFS_TRN_PAY_U,Data - Import of Cash Transactions (Payments) - Cancel,Data Format Setup - Execute - Import to Message Queue,,,,TRN_PAY_U,,,,,DFS_CASH_PAY_U,,,,,
2,TRN_CASH,Cash Transactions,DM_WAIT_CASH_MQ_EMP,Data - Wait until Cash MQ is Empty,System - Wait Unit Message Queue is Empty,,,,,,,,,,,,,,
3,TRN_CASH,Cash Transactions,DM_DFS_TRN_PAY_N,Data - Import of Cash Transactions (Payments) - Active,Data Format Setup - Execute - Import to Message Queue,,,,TRN_PAY_N,,,,,DFS_CASH_PAY_N,,,,,
4,TRN_CASH,Cash Transactions,DM_DFS_TRN_CCC_U,Charge/Credit Cash - Cancel,Data Format Setup - Execute - Import to Message Queue,,,,TRN_CH_CR_CASH_U,,,,,DFS_CASH_CCC_U,,,,,
5,TRN_CASH,Cash Transactions,DM_WAIT_CASH_MQ_EMP,Data - Wait until Cash MQ is Empty,System - Wait Unit Message Queue is Empty,,,,,,,,,,,,,,
6,TRN_CASH,Cash Transactions,DM_DFS_TRN_CCC_N,Charge/Credit Cash - Active,Data Format Setup - Execute - Import to Message Queue,,,,TRN_CH_CR_CASH_N,,,,,DFS_CASH_CCC_N,,,,,
7,TRN_CASH,Cash Transactions,CR_ACC_INT_U,Import Cash Transaction Accrued Interest Cancelled,Data Format Setup - Execute - Import to Message Queue,,,,TRN_CR_AC_INT_U,,,,,DFS_TRN_CR_AC_U,,,,,
8,TRN_CASH,Cash Transactions,DM_WAIT_CASH_MQ_EMP,Data - Wait until Cash MQ is Empty,System - Wait Unit Message Queue is Empty,,,,,,,,,,,,,,
9,TRN_CASH,Cash Transactions,CR_ACC_INT_N,Import Cash Transaction Accrued Interest Active,Data Format Setup - Execute - Import to Message Queue,,,,TRN_CR_AC_INT_N,,,,,DFS_TRN_CR_AC_N,,,,,
10,TRN_CASH,Cash Transactions,DM_DFS_CASH_TR_U,Data - Cash transfer Cancelled,Data Format Setup - Execute - Import to Message Queue,,,,TRN_CASH_TRANSFER_U,,,,,DFS_CASH_TR_U,,,,,
11,TRN_CASH,Cash Transactions,DM_WAIT_CASH_MQ_EMP,Data - Wait until Cash MQ is Empty,System - Wait Unit Message Queue is Empty,,,,,,,,,,,,,,
12,TRN_CASH,Cash Transactions,DM_DFS_CASH_TR_N,Data - Cash transfer Active,Data Format Setup - Execute - Import to Message Queue,,,,TRN_CASH_TRANSFER_N,,,,,DFS_CASH_TR_N,,,,,
13,TRN_CASH,Cash Transactions,DM_WAIT_CASH_MQ_EMP,Data - Wait until Cash MQ is Empty,System - Wait Unit Message Queue is Empty,,,,,,,,,,,,,,
14,TRN_CASH,Cash Transactions,DM_DFS_TRN_CCA_C,Charge/Credit ALM - Cancel,Data Format Setup - Execute - Import to Message Queue,,,,TRN_CH_CR_ALM_C,,,,,DFS_CASH_CCA_C,,,,,
15,TRN_CASH,Cash Transactions,DM_WAIT_CASH_MQ_EMP,Data - Wait until Cash MQ is Empty,System - Wait Unit Message Queue is Empty,,,,,,,,,,,,,,
16,TRN_CASH,Cash Transactions,DM_DFS_TRN_CCA_N,Charge/Credit ALM - Active,Data Format Setup - Execute - Import to Message Queue,,,,TRN_CH_CR_ALM_N,,,,,DFS_CASH_CCA_N,,,,,
17,TRN_CASH,Cash Transactions,DM_WAIT_CASH_MQ_EMP,Data - Wait until Cash MQ is Empty,System - Wait Unit Message Queue is Empty,,,,,,,,,,,,,,
18,TRN_CASH,Cash Transactions,DM_DFS_TRN_SETTD_C,Settle Debt/Receivables - Cancel,Data Format Setup - Execute - Import to Message Queue,,,,TRN_SET_DEBT_RECV_C,,,,,DFS_CASH_SETTD_C,,,,,
19,TRN_CASH,Cash Transactions,DM_WAIT_CASH_MQ_EMP,Data - Wait until Cash MQ is Empty,System - Wait Unit Message Queue is Empty,,,,,,,,,,,,,,
20,TRN_CASH,Cash Transactions,DM_DFS_TRN_SETTD_N,Settle Debt/Receivables - Active,Data Format Setup - Execute - Import to Message Queue,,,,TRN_SET_DEBT_RECV_N,,,,,DFS_CASH_SETTD_N,,,,,
21,TRN_CASH,Cash Transactions,DM_DFS_TRN_FUND_PO_U,Data - Import of Fund/Pool Investment transaction- Cancel,Data Format Setup - Execute - Import to Message Queue,,,,TRN_FUND_PO_INV_U,,,,,DFS_CASH_FUND_U,,,,,
22,TRN_CASH,Cash Transactions,DM_WAIT_CASH_MQ_EMP,Data - Wait until Cash MQ is Empty,System - Wait Unit Message Queue is Empty,,,,,,,,,,,,,,
23,TRN_CASH,Cash Transactions,DM_DFS_TRN_FUND_PO_N,Data - Import of Fund/Pool Investment transaction- Active,Data Format Setup - Execute - Import to Message Queue,,,,TRN_FUND_PO_INV_N,,,,,DFS_CASH_FUND_N,,,,,
24,TRN_CASH,Cash Transactions,DM_WAIT_CASH_MQ_EMP,Data - Wait until Cash MQ is Empty,System - Wait Unit Message Queue is Empty,,,,,,,,,,,,,,
