Batch Job Group ID,Batch Job Group Name,Job Plan ID,Job Plan Name
29349622,PRF_REP_DAILY_1,29349614,PRF_REP_DAILY_1
29349623,PRF_REP_DAILY_2,29349615,PRF_REP_DAILY_2
29596258,ADHOC_PERF_TFA_MTD,29596109,ADHOC_PERF_TFA_MTD
29611552,TRN_LF_EVENTS,29611546,TRN_LF_EVENTS
29611556,TRN_LF_PAYDOWNS,29611549,TRN_LF_PAYDOWNS
30555080,DM_EXT_ABOR_DH_PR,30555078,DM_EXT_ABOR_DH_PR
31910651,DM_EXT_ABOR_DH_CHK,31910614,DM_EXT_ABOR_DH_CHK
32339846,SO_CBU_CLEANUP,32339843,SO_CBU_CLEANUP
32366146,DM_EXT_TRN_IO_LF,32366143,DM_EXT_TRN_IO_LF
32766054,DM_EXT_POS_IO_PD_LF,32766051,DM_EXT_POS_IO_PD_LF
